mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
mesh3d_xyz,uniform_random,0.48,0.24,153600.0,153229.0,153047.0,0.9975846354166666,0.998812235281833,0.2391359375,2.0,11.024104,13.024104,3.756095,88.1581,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.5,0.25,160000.0,159529.0,159365.0,0.99705625,0.9989719737477198,0.2490078125,2.0,11.028827,13.028827,3.746557,91.6382,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.52,0.26,166400.0,166218.0,166016.0,0.99890625,0.9987847284890926,0.2594,2.0,11.060398,13.060398,3.747187,95.4819,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.54,0.27,172800.0,172492.0,172285.0,0.9982175925925926,0.998799944345245,0.2691953125,2.0,11.083089,13.083089,3.745973,99.0633,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.56,0.28,179200.00000000003,178832.0,178608.0,0.9979464285714285,0.9987474277534222,0.279075,2.0,11.118074,13.118074,3.749283,102.7636,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.58,0.29,185600.0,185199.0,184975.0,0.9978394396551724,0.9987904902294289,0.2890234375,2.0,11.154421,13.154421,3.74935,106.4273,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.6,0.3,192000.0,191612.0,191373.0,0.9979791666666666,0.9987526877231071,0.2990203125,2.0,11.185068,13.185068,3.748261,110.0888,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.62,0.31,198400.0,198029.0,197802.0,0.9981300403225807,0.9988537032454843,0.309065625,2.0,11.228673,13.228673,3.75206,113.8527,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.64,0.32,204800.0,204347.0,204113.0,0.9977880859375,0.9988548889878491,0.3189265625,2.000029,11.257382,13.257411,3.75031,117.4535,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.66,0.33,211200.0,210736.0,210478.0,0.9978030303030303,0.9987757193834941,0.328871875,2.000005,11.290524,13.290529,3.750188,121.1182,0.0,0.0,0.0,0.0,10000.0,2000000000.0
