pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
uniform_random,0.45,0.225,143788.0,143576.0,0.2243375,0.9985256071438506,2.0,14.614727,16.614727,5.251936,10000.0,2000000000.0
uniform_random,0.46,0.23,146960.0,146737.0,0.2292765625,0.9984825802939575,2.000061,14.680878,16.680939,5.252874,10000.0,2000000000.0
uniform_random,0.47,0.235,150117.0,149898.0,0.234215625,0.9985411379124283,2.000013,14.721898,16.721911,5.248282,10000.0,2000000000.0
uniform_random,0.48,0.24,153229.0,152997.0,0.2390578125,0.9984859262933257,2.000052,14.799512,16.799565,5.25209,10000.0,2000000000.0
uniform_random,0.49,0.245,156386.0,156147.0,0.2439796875,0.9984717302060286,2.000026,14.867106,16.867132,5.255535,10000.0,2000000000.0
uniform_random,0.5,0.25,159529.0,159305.0,0.2489140625,0.9985958665822515,2.00005,14.905213,16.905263,5.248122,10000.0,2000000000.0
shuffle,0.01,0.005,3151.0,3149.0,0.0049203125,0.9993652808632181,2.0,11.025405,13.025405,4.005716,10000.0,2000000000.0
shuffle,0.02,0.01,6392.0,6387.0,0.0099796875,0.9992177722152691,2.0,11.067637,13.067637,4.018945,10000.0,2000000000.0
shuffle,0.03,0.015,9506.0,9495.0,0.0148359375,0.9988428361035135,2.0,11.110479,13.110479,4.032438,10000.0,2000000000.0
shuffle,0.04,0.02,12607.0,12594.0,0.019678125,0.9989688268422305,2.0,11.098539,13.098539,4.020168,10000.0,2000000000.0
shuffle,0.05,0.025,15968.0,15951.0,0.0249234375,0.998935370741483,2.0,11.116544,13.116544,4.021002,10000.0,2000000000.0
shuffle,0.06,0.03,19104.0,19080.0,0.0298125,0.9987437185929648,2.0,11.123532,13.123532,4.018134,10000.0,2000000000.0
shuffle,0.07,0.035,22259.0,22229.0,0.0347328125,0.9986522305584258,2.0,11.139098,13.139098,4.019119,10000.0,2000000000.0
shuffle,0.08,0.04,25466.0,25429.0,0.0397328125,0.9985470823843556,2.0,11.143852,13.143852,4.013921,10000.0,2000000000.0
shuffle,0.09,0.045,28697.0,28657.0,0.0447765625,0.9986061260758964,2.0,11.154168,13.154168,4.011446,10000.0,2000000000.0
shuffle,0.1,0.05,31948.0,31902.0,0.049846875,0.9985601602604232,2.0,11.157451,13.157451,4.006927,10000.0,2000000000.0
shuffle,0.11,0.055,35122.0,35070.0,0.054796875,0.9985194465007687,2.0,11.168149,13.168149,4.004904,10000.0,2000000000.0
shuffle,0.12,0.06,38292.0,38235.0,0.0597421875,0.9985114384205578,2.0,11.177691,13.177691,4.002197,10000.0,2000000000.0
shuffle,0.13,0.065,41433.0,41375.0,0.0646484375,0.9986001496391765,2.0,11.19548,13.19548,4.002393,10000.0,2000000000.0
shuffle,0.14,0.07,44569.0,44507.0,0.0695421875,0.9986088985617806,2.0,11.209967,13.209967,4.001618,10000.0,2000000000.0
shuffle,0.15,0.075,47760.0,47695.0,0.0745234375,0.9986390284757118,2.0,11.21344,13.21344,3.995408,10000.0,2000000000.0
shuffle,0.16,0.08,50975.0,50905.0,0.0795390625,0.9986267778322707,2.0,11.231883,13.231883,3.995482,10000.0,2000000000.0
shuffle,0.17,0.085,54179.0,54105.0,0.0845390625,0.9986341571457575,2.0,11.250735,13.250735,3.996784,10000.0,2000000000.0
shuffle,0.18,0.09,57392.0,57316.0,0.08955625,0.9986757736269863,2.0,11.275909,13.275909,4.000436,10000.0,2000000000.0
shuffle,0.19,0.095,60619.0,60537.0,0.0945890625,0.9986472888038403,2.0,11.287328,13.287328,3.998133,10000.0,2000000000.0
shuffle,0.2,0.1,63806.0,63720.0,0.0995625,0.9986521643732564,2.0,11.302197,13.302197,3.997097,10000.0,2000000000.0
shuffle,0.21,0.105,66989.0,66901.0,0.1045328125,0.9986863514905432,2.0,11.320713,13.320713,3.996532,10000.0,2000000000.0
shuffle,0.22,0.11,70137.0,70045.0,0.1094453125,0.998688281506195,2.0,11.339011,13.339011,3.995303,10000.0,2000000000.0
shuffle,0.23,0.115,73254.0,73157.0,0.1143078125,0.9986758402271548,2.0,11.351094,13.351094,3.991252,10000.0,2000000000.0
shuffle,0.24,0.12,76496.0,76396.0,0.11936875,0.9986927421041623,2.0,11.37892,13.37892,3.993756,10000.0,2000000000.0
shuffle,0.25,0.125,79713.0,79607.0,0.1243859375,0.9986702294481452,2.0,11.406623,13.406623,3.99598,10000.0,2000000000.0
shuffle,0.26,0.13,82939.0,82833.0,0.1294265625,0.9987219522781804,2.0,11.429261,13.429261,3.994604,10000.0,2000000000.0
shuffle,0.27,0.135,86166.0,86054.0,0.134459375,0.9987001833669893,2.0,11.457794,13.457794,3.995503,10000.0,2000000000.0
shuffle,0.28,0.14,89320.0,89206.0,0.139384375,0.9987236901030004,2.0,11.489698,13.489698,3.996525,10000.0,2000000000.0
shuffle,0.29,0.145,92559.0,92442.0,0.144440625,0.9987359413995398,2.0,11.522717,13.522717,3.997101,10000.0,2000000000.0
shuffle,0.3,0.15,95810.0,95691.0,0.1495171875,0.998757958459451,2.0,11.553333,13.553333,3.995266,10000.0,2000000000.0
shuffle,0.31,0.155,98949.0,98827.0,0.1544171875,0.9987670416072927,2.0,11.589363,13.589363,3.995214,10000.0,2000000000.0
shuffle,0.32,0.16,102153.0,102027.0,0.1594171875,0.9987665560482806,2.000039,11.636518,13.636557,3.995521,10000.0,2000000000.0
shuffle,0.33,0.165,105338.0,105210.0,0.164390625,0.9987848639617232,2.000038,11.685638,13.685676,3.995685,10000.0,2000000000.0
shuffle,0.34,0.17,108533.0,108403.0,0.1693796875,0.9988022076234878,2.000037,11.751308,13.751345,3.995591,10000.0,2000000000.0
shuffle,0.35,0.175,111703.0,111572.0,0.17433125,0.9988272472538786,2.000081,11.81732,13.8174,3.995241,10000.0,2000000000.0
shuffle,0.36,0.18,114873.0,114737.0,0.1792765625,0.9988160838491204,2.000061,11.895195,13.895256,3.995154,10000.0,2000000000.0
shuffle,0.37,0.185,118054.0,117915.0,0.1842421875,0.9988225727209582,2.000237,11.994326,13.994564,3.995615,10000.0,2000000000.0
