mode,pattern,injection_rate,link_latency,sim_cycles,torus_x,torus_y,torus_z,traffic_epoch_cycles,traffic_x_bias,traffic_x_hops,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
dpphys_pressure,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19054.0,18742.0,0.9923958333333334,0.98362548546237,0.04880729166666667,2.326006,50.549995,52.876,3.169246,11002.0,3808.0,32788.0,32137.0,651.0,1178.0,527.0,32150.0,651.0,651.0,0.0,0.0,0.0,0.0,32677.0,27150.0,1.0,3000.0,0.0,32788.0,0.0,0.0,0.0,0.0,0.0,32677.0,0.0,0.0,0.0,0.0,5670.0,21480.0,0.0,0.0,0.0,0.0,527.0,651.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,18091.0,17261.0,0.7851996527777778,0.9541208335636504,0.044950520833333334,31.38138,75.969816,107.351196,3.279474,16410.0,5528.0,28415.0,27244.0,1171.0,2217.0,1046.0,27075.0,1171.0,1171.0,0.0,0.0,0.0,0.0,28121.0,28939.0,1.0,3000.0,0.0,28415.0,0.0,0.0,0.0,0.0,0.0,28121.0,0.0,0.0,0.0,0.0,9813.0,19126.0,0.0,0.0,0.0,0.0,1046.0,1171.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,8869.0,7835.0,0.3079513888888889,0.8834141391363175,0.020403645833333334,405.621442,201.552265,607.173708,3.611359,16367.0,5206.0,8564.0,8205.0,359.0,590.0,231.0,7961.0,359.0,359.0,0.0,0.0,0.0,0.0,8192.0,20503.0,1.0,3000.0,0.0,8564.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,11699.0,8804.0,0.0,0.0,0.0,0.0,231.0,359.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,7864.0,6824.0,0.20479166666666668,0.8677517802644964,0.017770833333333333,669.766706,236.07034,905.837046,3.688746,16162.0,5105.0,6491.0,6290.0,201.0,274.0,73.0,6051.0,201.0,201.0,0.0,0.0,0.0,0.0,6124.0,19438.0,1.0,3000.0,0.0,6491.0,0.0,0.0,0.0,0.0,0.0,6124.0,0.0,0.0,0.0,0.0,11720.0,7718.0,0.0,0.0,0.0,0.0,73.0,201.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.02,8,3000,8,4,4,0,1.0,3,1,0,3840.0,3927.0,3865.0,1.02265625,0.9842118665648077,0.010065104166666667,2.005692,45.934282,47.939974,3.0,2.0,1.0,3993.0,3896.0,97.0,97.0,0.0,3978.0,97.0,97.0,0.0,0.0,0.0,0.0,3978.0,7692.0,2.0,3000.0,0.0,3993.0,0.0,0.0,0.0,0.0,0.0,3978.0,0.0,0.0,0.0,0.0,0.0,7692.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.05,8,3000,8,4,4,0,1.0,3,1,0,9600.0,9600.0,9472.0,1.0,0.9866666666666667,0.024666666666666667,2.042335,46.187394,48.22973,3.011402,373.0,129.0,15939.0,15677.0,262.0,269.0,7.0,15889.0,262.0,262.0,0.0,0.0,0.0,0.0,15896.0,12782.0,2.0,3000.0,0.0,15939.0,0.0,0.0,0.0,0.0,0.0,15896.0,0.0,0.0,0.0,0.0,182.0,12600.0,0.0,0.0,0.0,0.0,7.0,262.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.08,8,3000,8,4,4,0,1.0,3,1,0,15360.0,15295.0,15043.0,0.9957682291666666,0.9835240274599543,0.039174479166666665,2.136608,46.951672,49.08828,3.053979,2587.0,883.0,28771.0,28452.0,319.0,385.0,66.0,28604.0,319.0,319.0,0.0,0.0,0.0,0.0,28670.0,17550.0,2.0,3000.0,0.0,28771.0,0.0,0.0,0.0,0.0,0.0,28670.0,0.0,0.0,0.0,0.0,1385.0,16165.0,0.0,0.0,0.0,0.0,66.0,319.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18755.0,0.9924479166666667,0.9842561007609552,0.048841145833333335,2.265103,47.77414,50.039243,3.083818,5465.0,1945.0,36819.0,36339.0,480.0,708.0,228.0,36477.0,480.0,480.0,0.0,0.0,0.0,0.0,36705.0,21525.0,2.0,3000.0,0.0,36819.0,0.0,0.0,0.0,0.0,0.0,36705.0,0.0,0.0,0.0,0.0,2774.0,18751.0,0.0,0.0,0.0,0.0,228.0,480.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,22952.0,22560.0,0.9961805555555555,0.9829208783548274,0.05875,2.463254,49.108067,51.571321,3.132092,9688.0,3380.0,44686.0,43759.0,927.0,1604.0,677.0,43840.0,927.0,927.0,0.0,0.0,0.0,0.0,44517.0,26646.0,2.0,3000.0,0.0,44686.0,0.0,0.0,0.0,0.0,0.0,44517.0,0.0,0.0,0.0,0.0,5105.0,21541.0,0.0,0.0,0.0,0.0,677.0,927.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,18651.0,17539.0,0.6476041666666666,0.9403785319821993,0.045674479166666664,54.798848,87.433206,142.232054,3.286447,16543.0,5539.0,31199.0,29823.0,1376.0,2497.0,1121.0,29606.0,1376.0,1376.0,0.0,0.0,0.0,0.0,30727.0,27383.0,2.0,3000.0,0.0,31199.0,0.0,0.0,0.0,0.0,0.0,30727.0,0.0,0.0,0.0,0.0,10422.0,16961.0,0.0,0.0,0.0,0.0,1121.0,1376.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,8678.0,7518.0,0.22598958333333333,0.866328647153722,0.019578125,580.012503,230.386938,810.399441,3.627028,16164.0,5143.0,8245.0,7855.0,390.0,524.0,134.0,7612.0,390.0,390.0,0.0,0.0,0.0,0.0,7746.0,19950.0,2.0,3000.0,0.0,8245.0,0.0,0.0,0.0,0.0,0.0,7746.0,0.0,0.0,0.0,0.0,11693.0,8257.0,0.0,0.0,0.0,0.0,134.0,390.0,0.0,0.0,0.0,0.0
