mode,physical_vcs,pattern,injection_rate,link_latency,sim_cycles,torus_x,torus_y,torus_z,traffic_epoch_cycles,traffic_x_bias,traffic_x_hops,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
dpphys_pressure_v6,6,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,11110.0,9555.0,0.28932291666666665,0.86003600360036,0.0248828125,342.157405,230.920774,573.078179,3.496285,16191.0,5185.0,11358.0,11019.0,339.0,550.0,211.0,10648.0,339.0,339.0,0.0,0.0,0.0,0.0,10859.0,23061.0,1.0,3000.0,0.0,11358.0,0.0,0.0,0.0,0.0,0.0,10859.0,0.0,0.0,0.0,0.0,11524.0,11537.0,0.0,0.0,0.0,0.0,211.0,339.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6,6,torus3d_xbiased,0.25,8,3000,8,4,4,0,1.0,3,1,0,48000.0,9110.0,7561.0,0.18979166666666666,0.829967069154775,0.019690104166666667,591.80201,300.391879,892.19389,3.619759,16149.0,5150.0,7752.0,7511.0,241.0,354.0,113.0,7138.0,241.0,241.0,0.0,0.0,0.0,0.0,7251.0,20604.0,1.0,3000.0,0.0,7752.0,0.0,0.0,0.0,0.0,0.0,7251.0,0.0,0.0,0.0,0.0,11700.0,8904.0,0.0,0.0,0.0,0.0,113.0,241.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18777.0,0.9924479166666667,0.9854106533718184,0.0488984375,2.001172,46.218619,48.21979,3.003408,224.0,89.0,27146.0,26769.0,377.0,380.0,3.0,27062.0,377.0,377.0,0.0,0.0,0.0,0.0,27065.0,29644.0,3.0,3000.0,0.0,27146.0,0.0,0.0,0.0,0.0,0.0,27065.0,0.0,0.0,0.0,0.0,96.0,29548.0,0.0,0.0,0.0,0.0,3.0,377.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,22959.0,22590.0,0.996484375,0.9839278714229713,0.058828125,2.004515,46.445374,48.449889,3.010359,761.0,262.0,36235.0,35824.0,411.0,441.0,30.0,36081.0,411.0,411.0,0.0,0.0,0.0,0.0,36111.0,32339.0,3.0,3000.0,0.0,36235.0,0.0,0.0,0.0,0.0,0.0,36111.0,0.0,0.0,0.0,0.0,422.0,31917.0,0.0,0.0,0.0,0.0,30.0,411.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.15,8,3000,8,4,4,0,1.0,3,1,0,28800.0,28696.0,28236.0,0.9963888888888889,0.9839698912740452,0.07353125,2.011652,46.93271,48.944362,3.022383,2364.0,849.0,49792.0,49300.0,492.0,603.0,111.0,49516.0,492.0,492.0,0.0,0.0,0.0,0.0,49627.0,36337.0,3.0,3000.0,0.0,49792.0,0.0,0.0,0.0,0.0,0.0,49627.0,0.0,0.0,0.0,0.0,1155.0,35182.0,0.0,0.0,0.0,0.0,111.0,492.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.18,8,3000,8,4,4,0,1.0,3,1,0,34560.0,34528.0,33955.0,0.9990740740740741,0.9834047729379055,0.08842447916666667,2.040436,47.837049,49.877485,3.052717,6117.0,2171.0,62805.0,61994.0,811.0,1255.0,444.0,62139.0,811.0,811.0,0.0,0.0,0.0,0.0,62583.0,41783.0,3.0,3000.0,0.0,62805.0,0.0,0.0,0.0,0.0,0.0,62583.0,0.0,0.0,0.0,0.0,3190.0,38593.0,0.0,0.0,0.0,0.0,444.0,811.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.2,8,3000,8,4,4,0,1.0,3,1,0,38400.0,38350.0,37749.0,0.9986979166666666,0.984328552803129,0.0983046875,2.061485,48.796577,50.858062,3.072797,9467.0,3316.0,70939.0,69585.0,1354.0,2344.0,990.0,69733.0,1354.0,1354.0,0.0,0.0,0.0,0.0,70723.0,46043.0,3.0,3000.0,0.0,70939.0,0.0,0.0,0.0,0.0,0.0,70723.0,0.0,0.0,0.0,0.0,4858.0,41185.0,0.0,0.0,0.0,0.0,990.0,1354.0,0.0,0.0,0.0,0.0
dpphys_pressure_v6_full,6,torus3d_xbiased,0.25,8,3000,8,4,4,0,1.0,3,1,0,48000.0,15160.0,13368.0,0.31583333333333335,0.8817941952506596,0.0348125,228.444794,180.524013,408.968806,3.36146,16368.0,5320.0,20269.0,19165.0,1104.0,1824.0,720.0,18795.0,1104.0,1104.0,0.0,0.0,0.0,0.0,19515.0,25983.0,3.0,3000.0,0.0,20269.0,0.0,0.0,0.0,0.0,0.0,19515.0,0.0,0.0,0.0,0.0,11431.0,14552.0,0.0,0.0,0.0,0.0,720.0,1104.0,0.0,0.0,0.0,0.0
private_v8,8,torus3d_xbiased,0.1,8,3000,8,4,4,0,1.0,3,1,0,19200.0,19055.0,18788.0,0.9924479166666667,0.98598792967725,0.048927083333333336,2.0,44.257611,46.257611,3.011177,783.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v8,8,torus3d_xbiased,0.12,8,3000,8,4,4,0,1.0,3,1,0,23040.0,22959.0,22612.0,0.996484375,0.9848861013110327,0.05888541666666667,2.0,44.444941,46.444941,3.024235,1884.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
