mode,pattern,injection_rate,link_latency,sim_cycles,traffic_epoch_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v4,torus3d_x_reversal,0.5,8,1000,16,1,0,16000.0,10027.0,9738.0,0.6266875,0.971177819886307,0.15215625,178.540357,29.150031,207.690388,1.031629,888.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure,torus3d_x_reversal,0.5,8,1000,16,1,0,16000.0,10091.0,9769.0,0.6306875,0.968090377564166,0.152640625,176.921384,29.848398,206.769782,1.021087,632.0,418.0,5966.0,4807.0,1159.0,1557.0,398.0,5499.0,0.0,0.0,5897.0,4183.0,1.0,1000.0,2866.0,3100.0,0.0,0.0,0.0,0.0,2825.0,3072.0,0.0,0.0,0.0,0.0,2041.0,2142.0,0.0,0.0,0.0,0.0,780.0,777.0,0.0,0.0,0.0,0.0
