link_latency,pattern,mode,sat_throughput,sat_rate,delta_vs_priv_pct,matched_rate,matched_packet_latency,direction_fairness_at_sat,grants_migrated_at_sat,credits_returned_at_sat,pool_full_blocks_at_sat,borrowed_peak_at_sat,grant_queue_max_at_sat,return_conflicts_at_sat
8,torus3d_neighbor,PRIV-v2,0.0525,1.0,0.0,0.05,35.447077,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_neighbor,STV-r1p2,0.0525,1.0,0.0,0.05,37.317491,0.1423139598044541,91408.0,142176.0,0.0,1.0,2.0,52368.0
8,torus3d_tornado,PRIV-v2,0.052384375,0.55,0.0,0.05,55.015971,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_tornado,STV-r1p2,0.0513015625,0.9,-2.0670524369146293,0.05,58.981053,0.05723549728624797,98983.0,121645.0,0.0,1.0,3.0,8102.0
8,torus3d_transpose,PRIV-v2,0.0523921875,0.7,0.0,0.05,54.209154,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_transpose,STV-r1p2,0.0520109375,0.45,-0.7276848289642368,0.05,56.52823,0.6815101645692159,58668.0,107342.0,0.0,1.0,3.0,5526.0
8,torus3d_xopposite,PRIV-v2,0.052496875,1.0,0.0,0.05,45.434229,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_xopposite,STV-r1p2,0.052175,0.45,-0.613131734031791,0.05,46.382262,0.99910292446624,24992.0,126373.0,0.0,1.0,3.0,44713.0
8,uniform_random,PRIV-v2,0.0521375,0.6,0.0,0.05,55.108576,nan,0.0,0.0,0.0,0.0,nan,0.0
8,uniform_random,STV-r1p2,0.0519109375,0.85,-0.4345480700072013,0.05,57.420507,0.7471446700507615,58972.0,100283.0,0.0,1.0,3.0,3807.0
