mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.05,2,10000,1,0,0,9.938,16000.0,15936.0,15920.0,0.996,0.998995983935743,0.024875,2.216897,7.061997,9.278894,2.019975,1005.0,660.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.1,2,10000,1,0,0,10.069,32000.0,31897.0,31863.0,0.99678125,0.9989340690347055,0.0497859375,2.524652,7.126165,9.650818,2.040988,4354.0,2866.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.15,2,10000,1,0,0,10.499,48000.0,47891.0,47843.0,0.9977291666666667,0.998997723998246,0.0747546875,2.949543,7.198838,10.148381,2.06513,10489.0,6796.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.2,2,10000,1,0,0,10.695,64000.0,64028.0,63967.0,1.0004375,0.9990472918098332,0.0999484375,3.573796,7.26484,10.838636,2.084419,19114.0,12468.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.25,2,10000,1,0,0,10.970,80000.0,79882.0,79804.0,0.998525,0.9990235597506322,0.12469375,4.619455,7.34289,11.962345,2.106386,30069.0,19523.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.3,2,10000,1,0,0,10.719,96000.0,95804.0,95706.0,0.9979583333333333,0.9989770782013278,0.149540625,6.747153,7.417309,14.164462,2.125091,42949.0,27998.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.35,2,10000,1,0,0,11.229,112000.0,111469.0,111372.0,0.9952589285714286,0.9991298029048435,0.17401875,13.757219,7.495089,21.252308,2.142477,56768.0,37059.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.4,2,10000,1,0,0,11.903,128000.0,125533.0,125432.0,0.9807265625,0.9991954306835653,0.1959875,94.250072,7.51675,101.766822,2.159911,62739.0,39622.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.45,2,10000,1,0,0,11.676,144000.0,127719.0,127617.0,0.8869375,0.9992013717614451,0.1994015625,553.494605,7.490985,560.98559,2.190523,52593.0,27758.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.5,2,10000,1,0,0,12.154,160000.0,127779.0,127668.0,0.79861875,0.9991313126570094,0.19948125,1000.467008,7.496311,1007.963319,2.19087,53352.0,28266.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.55,2,10000,1,0,0,11.997,176000.0,127866.0,127754.0,0.7265113636363636,0.9991240830244161,0.199615625,1363.124278,7.440456,1370.564734,2.16502,51652.0,30060.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.6,2,10000,1,0,0,12.008,192000.0,127874.0,127765.0,0.6660104166666667,0.9991475984171919,0.1996328125,1668.27387,7.365891,1675.63976,2.135483,43901.0,26069.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.65,2,10000,1,0,0,12.095,208000.0,127887.0,127769.0,0.6148413461538461,0.9990773104381212,0.1996390625,1923.399299,7.274738,1930.674037,2.10879,32708.0,18294.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.7,2,10000,1,0,0,11.795,224000.0,127907.0,127786.0,0.5710133928571428,0.999054000172,0.199665625,2139.498912,7.307076,2146.805988,2.123456,35536.0,19311.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.75,2,10000,1,0,0,12.269,240000.0,127881.0,127762.0,0.5328375,0.9990694473768582,0.199628125,2331.375675,7.363316,2338.738991,2.12564,32943.0,16259.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.8,2,10000,1,0,0,12.084,256000.0,127944.0,127825.0,0.49978125,0.9990699055836929,0.1997265625,2496.507569,7.339331,2503.8469,2.122511,28994.0,13066.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.85,2,10000,1,0,0,12.048,272000.0,127947.0,127827.0,0.4703933823529412,0.9990621116556074,0.1997296875,2644.203728,7.302307,2651.506036,2.109335,24862.0,10639.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.9,2,10000,1,0,0,12.372,288000.0,127968.0,127843.0,0.44433333333333336,0.9990231932983246,0.1997546875,2774.458516,7.182208,2781.640723,2.059542,13476.0,5704.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,0.95,2,10000,1,0,0,12.299,304000.0,127999.0,127871.0,0.4210493421052632,0.998999992187439,0.1997984375,2890.062008,7.17057,2897.232578,2.057073,11809.0,4487.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_xopposite,1,1.0,2,10000,1,0,0,12.138,320000.0,128000.0,127872.0,0.4,0.999,0.1998,2995.79187,7.110298,3002.902168,2.031594,6192.0,2137.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.05,4,10000,1,0,0,11.824,16000.0,15936.0,15920.0,0.996,0.998995983935743,0.024875,2.217839,7.314573,9.532412,2.133794,9649.0,5927.0,83134.0,829669.0,0.0,1.0,0.327293,3.0,348076.0,7936.0,7987.0,0.0,0.0,0.0,0.0,15923.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.1,4,10000,1,0,0,11.821,32000.0,31897.0,31863.0,0.99678125,0.9989340690347055,0.0497859375,2.528952,7.381351,9.910303,2.141481,19526.0,11915.0,75752.0,809090.0,0.0,1.0,0.309788,4.0,332308.0,15898.0,15976.0,0.0,0.0,0.0,0.0,31874.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.15,4,10000,1,0,0,11.907,48000.0,47891.0,47841.0,0.9977291666666667,0.998955962498173,0.0747515625,2.96388,7.436279,10.400159,2.143559,29017.0,17798.0,97339.0,790159.0,0.0,1.0,0.293933,4.0,335509.0,23920.0,23939.0,0.0,0.0,0.0,0.0,47859.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.2,4,10000,1,0,0,12.129,64000.0,64029.0,63969.0,1.000453125,0.9990629246122851,0.0999515625,3.609248,7.493364,11.102612,2.148791,39968.0,24643.0,112498.0,773137.0,0.0,1.0,0.300254,4.0,326513.0,32013.0,31975.0,0.0,0.0,0.0,0.0,63988.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.25,4,10000,1,0,0,12.773,80000.0,79882.0,79801.0,0.998525,0.9989860043564257,0.1246890625,4.712197,7.569542,12.281738,2.153883,51478.0,32019.0,116957.0,758097.0,0.0,1.0,0.316005,4.0,312709.0,39865.0,39957.0,0.0,0.0,0.0,0.0,79822.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.3,4,10000,1,0,0,13.126,96000.0,95799.0,95708.0,0.99790625,0.999050094468627,0.14954375,7.060831,7.670069,14.7309,2.163811,64725.0,40356.0,124441.0,745071.0,0.0,1.0,0.320224,4.0,304578.0,47849.0,47883.0,0.0,0.0,0.0,0.0,95732.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.35,4,10000,1,0,0,13.332,112000.0,111448.0,111343.0,0.9950714285714286,0.9990578565788529,0.1739734375,15.231977,7.750528,22.982505,2.167932,78327.0,49379.0,134140.0,733858.0,0.0,1.0,0.32438,4.0,303446.0,55740.0,55627.0,0.0,0.0,0.0,0.0,111367.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.4,4,10000,1,0,0,13.565,128000.0,124665.0,124564.0,0.9739453125,0.9991898287410259,0.19463125,127.762074,7.703044,135.465118,2.147266,76675.0,49048.0,139458.0,723863.0,0.0,1.0,0.327541,4.0,293164.0,62417.0,62163.0,0.0,0.0,0.0,0.0,124580.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.45,4,10000,1,0,0,13.748,144000.0,126856.0,126747.0,0.8809444444444444,0.999140758024847,0.1980421875,593.537851,7.315416,600.853267,2.065027,34686.0,22218.0,117490.0,716338.0,0.0,1.0,0.31431,4.0,278377.0,63424.0,63353.0,0.0,0.0,0.0,0.0,126777.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.5,4,10000,1,0,0,14.073,160000.0,126907.0,126801.0,0.79316875,0.9991647426855886,0.1981265625,1040.027342,7.325794,1047.353136,2.066671,36105.0,23251.0,151593.0,716549.0,0.0,1.0,0.335276,4.0,281400.0,63434.0,63398.0,0.0,0.0,0.0,0.0,126832.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.55,4,10000,1,0,0,14.185,176000.0,126402.0,126306.0,0.7181931818181818,0.9992405183462287,0.197353125,1412.32506,7.509049,1419.834109,2.103986,55773.0,35913.0,187028.0,719797.0,0.0,1.0,0.330649,4.0,284127.0,63332.0,62996.0,0.0,0.0,0.0,0.0,126328.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.6,4,10000,1,0,0,14.443,192000.0,126160.0,126061.0,0.6570833333333334,0.999215282181357,0.1969703125,1722.562125,7.589976,1730.152101,2.121655,65278.0,41956.0,227931.0,721350.0,0.0,1.0,0.344028,4.0,291496.0,63213.0,62876.0,0.0,0.0,0.0,0.0,126089.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.65,4,10000,1,0,0,14.270,208000.0,126565.0,126470.0,0.6084855769230769,0.9992493975427645,0.197609375,1964.473211,7.449308,1971.922519,2.092844,50312.0,32432.0,225791.0,718913.0,0.0,1.0,0.340399,4.0,291146.0,63413.0,63080.0,0.0,0.0,0.0,0.0,126493.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.7,4,10000,1,0,0,14.437,224000.0,126765.0,126670.0,0.5659151785714286,0.9992505817851931,0.197921875,2177.910208,7.381882,2185.29209,2.078866,42184.0,27017.0,229004.0,717583.0,0.0,1.0,0.335975,4.0,293259.0,63475.0,63215.0,0.0,0.0,0.0,0.0,126690.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.75,4,10000,1,0,0,14.311,240000.0,126843.0,126745.0,0.5285125,0.9992273913420527,0.1980390625,2364.209744,7.366255,2371.575999,2.075459,40078.0,25560.0,242998.0,717242.0,0.0,1.0,0.344419,4.0,292259.0,63506.0,63262.0,0.0,0.0,0.0,0.0,126768.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.8,4,10000,1,0,0,14.478,256000.0,126867.0,126771.0,0.49557421875,0.9992433020407198,0.1980796875,2532.223292,7.358552,2539.581844,2.07366,38879.0,24722.0,276856.0,717042.0,0.0,1.0,0.360351,4.0,296078.0,63487.0,63304.0,0.0,0.0,0.0,0.0,126791.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.85,4,10000,1,0,0,14.861,272000.0,126952.0,126855.0,0.4667352941176471,0.9992359316907178,0.1982109375,2675.630208,7.331504,2682.961712,2.068283,35823.0,22742.0,287819.0,716504.0,0.0,1.0,0.36851,4.0,295143.0,63574.0,63303.0,0.0,0.0,0.0,0.0,126877.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.9,4,10000,1,0,0,15.079,288000.0,126746.0,126647.0,0.44009027777777776,0.9992189102614678,0.1978859375,2809.007967,7.401739,2816.409706,2.082497,43238.0,27441.0,320353.0,717717.0,0.0,1.0,0.397672,4.0,297727.0,63498.0,63170.0,0.0,0.0,0.0,0.0,126668.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,0.95,4,10000,1,0,0,15.129,304000.0,127023.0,126923.0,0.4178388157894737,0.9992127409996615,0.1983171875,2919.106222,7.316184,2926.422406,2.065205,34402.0,21927.0,336654.0,716337.0,0.0,1.0,0.413265,4.0,295013.0,63537.0,63409.0,0.0,0.0,0.0,0.0,126946.0,10000.0
STV-r1p2,starve,1,2,4,torus3d_xopposite,1,1.0,4,10000,1,0,0,15.104,320000.0,126969.0,126866.0,0.396778125,0.9991887783632225,0.198228125,3024.182799,7.326447,3031.509246,2.066685,35661.0,22766.0,348652.0,716569.0,0.0,1.0,0.422765,4.0,295312.0,63512.0,63376.0,0.0,0.0,0.0,0.0,126888.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.05,2,10000,1,0,0,11.005,16000.0,15936.0,15919.0,0.996,0.9989332329317269,0.0248734375,2.217099,9.087003,11.304102,3.023996,1150.0,727.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.1,2,10000,1,0,0,11.165,32000.0,31897.0,31861.0,0.99678125,0.9988713672132176,0.0497828125,2.527165,9.179436,11.706601,3.053357,5104.0,3047.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.15,2,10000,1,0,0,11.788,48000.0,47891.0,47832.0,0.9977291666666667,0.998768035747844,0.0747375,2.954654,9.27814,12.232794,3.087766,12622.0,7197.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.2,2,10000,1,0,0,12.106,64000.0,64030.0,63959.0,1.00046875,0.9988911447758863,0.0999359375,3.585359,9.395894,12.981254,3.127332,24531.0,13499.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.25,2,10000,1,0,0,12.011,80000.0,79883.0,79787.0,0.9985375,0.9987982424295532,0.1246671875,4.648401,9.522002,14.170404,3.169326,40545.0,21527.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.3,2,10000,1,0,0,12.271,96000.0,95804.0,95689.0,0.9979583333333333,0.9987996325831907,0.1495140625,6.846064,9.654286,16.50035,3.211539,60959.0,31389.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.35,2,10000,1,0,0,12.618,112000.0,111463.0,111340.0,0.9952053571428572,0.9988964948009653,0.17396875,14.237965,9.799802,24.037767,3.255793,85611.0,42712.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.4,2,10000,1,0,0,13.280,128000.0,124902.0,124763.0,0.975796875,0.9988871275079663,0.1949421875,116.598783,9.902239,126.501022,3.28696,107969.0,52670.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.45,2,10000,1,0,0,12.991,144000.0,126180.0,126047.0,0.87625,0.9989459502298303,0.1969484375,602.688672,9.910145,612.598816,3.288813,110078.0,53464.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.5,2,10000,1,0,0,13.191,160000.0,126204.0,126068.0,0.788775,0.9989223796393141,0.19698125,1047.454176,9.917743,1057.371918,3.291129,110221.0,53403.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.55,2,10000,1,0,0,12.908,176000.0,126280.0,126135.0,0.7175,0.9988517579980994,0.1970859375,1405.335934,9.91437,1415.250303,3.290958,110705.0,53840.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.6,2,10000,1,0,0,13.200,192000.0,126242.0,126102.0,0.6575104166666667,0.9988910188368372,0.197034375,1706.461262,9.917186,1716.378448,3.290717,110662.0,53673.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.65,2,10000,1,0,0,13.400,208000.0,126305.0,126168.0,0.607235576923077,0.9989153240172598,0.1971375,1957.212098,9.919908,1967.132007,3.29215,111054.0,53886.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.7,2,10000,1,0,0,13.076,224000.0,126244.0,126103.0,0.5635892857142857,0.9988831152371598,0.1970359375,2175.412631,9.920954,2185.333584,3.290334,110283.0,53497.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.75,2,10000,1,0,0,13.418,240000.0,126273.0,126133.0,0.5261375,0.998891291091524,0.1970828125,2361.745293,9.919141,2371.664434,3.291074,110366.0,53489.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.8,2,10000,1,0,0,13.573,256000.0,126349.0,126212.0,0.49355078125,0.998915701746749,0.19720625,2526.439625,9.923304,2536.362929,3.293982,111446.0,53960.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.85,2,10000,1,0,0,13.470,272000.0,126295.0,126156.0,0.46431985294117645,0.9988994021932777,0.19711875,2671.739568,9.918189,2681.657757,3.290323,110460.0,53630.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.9,2,10000,1,0,0,13.610,288000.0,126293.0,126157.0,0.4385173611111111,0.9989231390496702,0.1971203125,2802.069572,9.909922,2811.979494,3.289782,110176.0,53331.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,0.95,2,10000,1,0,0,13.664,304000.0,126337.0,126198.0,0.41558223684210527,0.9988997680806098,0.197184375,2916.821249,9.910743,2926.731993,3.289482,110322.0,53491.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v2,private,,0,4,torus3d_tornado,1,1.0,2,10000,1,0,0,13.501,320000.0,126334.0,126200.0,0.39479375,0.998939319581427,0.1971875,3021.25691,9.913074,3031.169984,3.29122,110550.0,53401.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
