link_latency,pattern,mode,sat_throughput,sat_rate,delta_vs_priv_pct,matched_rate,matched_packet_latency,direction_fairness_at_sat,grants_migrated_at_sat,credits_returned_at_sat,pool_full_blocks_at_sat,borrowed_peak_at_sat,grant_queue_max_at_sat,return_conflicts_at_sat
8,torus3d_tornado,STV-b,0.1450078125,0.75,-7.2941952111241,0.1,47.749756,0.047293763890704665,385863.0,664382.0,0.0,2.0,4.0,195157.0
8,torus3d_transpose,PRIV,0.1569203125,0.85,0.0,0.1,46.228917,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_transpose,RR-a,0.1424046875,0.3,-9.250316143743342,0.1,47.254775,0.8780923402566477,61096.0,0.0,0.0,2.0,2.0,0.0
8,torus3d_transpose,STV-a,0.15640625,0.9,-0.3275946190841261,0.1,46.365069,0.9183422492775011,139696.0,347202.0,0.0,1.0,4.0,48148.0
8,torus3d_transpose,RR-b,0.049540625,0.1,-68.4294377122146,0.1,55.173753,0.9279454722492697,40232.0,0.0,0.0,3.0,2.0,0.0
8,torus3d_transpose,STV-b,0.155103125,0.85,-1.1580320425375046,0.1,47.12396,0.8820928965057834,281597.0,646096.0,0.0,2.0,4.0,159082.0
8,torus3d_xopposite,PRIV,0.15745625,1.0,0.0,0.25,44.372755,nan,0.0,0.0,0.0,0.0,nan,0.0
8,torus3d_xopposite,RR-a,0.156440625,0.6,-0.645020442186317,0.25,46.513951,0.9989627383707014,44463.0,0.0,0.0,1.0,2.0,0.0
8,torus3d_xopposite,STV-a,0.1548109375,0.75,-1.6800301671099138,0.25,46.203079,0.9985691541887507,155238.0,365035.0,0.0,1.0,3.0,146120.0
8,torus3d_xopposite,RR-b,0.1562015625,0.5,-0.7968483308855578,0.25,47.871636,0.9992407289002557,79175.0,0.0,0.0,2.0,2.0,0.0
8,torus3d_xopposite,STV-b,0.1529828125,0.9,-2.84106696304528,0.25,47.647391,0.9997347155334259,357464.0,726982.0,0.0,2.0,4.0,299206.0
8,uniform_random,PRIV,0.15645,0.9,0.0,0.3,89.480039,nan,0.0,0.0,0.0,0.0,nan,0.0
8,uniform_random,RR-a,0.15634375,0.9,-0.06791307126877699,0.3,90.64331,0.9725156024963995,73152.0,0.0,0.0,2.0,2.0,0.0
8,uniform_random,STV-a,0.1561640625,0.95,-0.18276605944390623,0.3,91.866267,0.9613226692133222,118739.0,346620.0,0.0,2.0,4.0,50304.0
8,uniform_random,RR-b,0.1562953125,0.7,-0.09887344199425163,0.3,91.281967,0.9671434556227183,145383.0,0.0,0.0,3.0,2.0,0.0
8,uniform_random,STV-b,0.155675,0.95,-0.4953659316075387,0.3,97.725269,0.9269126488270659,251221.0,631543.0,0.0,2.0,4.0,153038.0
