topology,injection_rate,offered_load,expected_generated,packets_injected,packets_received,flits_injected,flits_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
ring,0.33,0.165,26400.0,26354.0,26321.0,26354.0,26321.0,0.9982575757575758,0.99874781816802,0.16450625,2.0,11.655484,13.655484,3.984081,15.7641,10000.0,2000000000.0
ring,0.34,0.17,27200.000000000004,27114.0,27084.0,27114.0,27084.0,0.9968382352941175,0.9988935605222394,0.169275,2.0,11.747637,13.747637,4.008307,16.2841,10000.0,2000000000.0
ring,0.35,0.175,28000.0,27929.0,27895.0,27929.0,27895.0,0.9974642857142857,0.998782627376562,0.17434375,2.0,11.743933,13.743933,3.988744,16.7161,10000.0,2000000000.0
ring,0.36,0.18,28800.0,28652.0,28619.0,28652.0,28619.0,0.9948611111111111,0.998848247940807,0.17886875,2.0,11.842517,13.842517,4.017541,17.2348,10000.0,2000000000.0
ring,0.37,0.185,29600.0,29462.0,29424.0,29462.0,29424.0,0.9953378378378378,0.9987102029733216,0.1839,2.0,11.786535,13.786535,3.987119,17.6287,10000.0,2000000000.0
ring,0.38,0.19,30400.0,30316.0,30280.0,30316.0,30280.0,0.9972368421052632,0.9988125082464705,0.18925,2.0,11.848415,13.848415,3.992371,18.1588,10000.0,2000000000.0
ring,0.39,0.195,31200.0,31100.0,31056.0,31100.0,31056.0,0.9967948717948718,0.9985852090032155,0.1941,2.0,11.960104,13.960104,4.011399,18.6851,10000.0,2000000000.0
ring,0.4,0.2,32000.0,31925.0,31892.0,31925.0,31892.0,0.99765625,0.9989663273296789,0.199325,2.000063,11.955224,13.955287,3.995673,19.1346,10000.0,2000000000.0
ring,0.41,0.205,32800.0,32708.0,32661.0,32708.0,32661.0,0.9971951219512195,0.9985630426806897,0.20413125,2.0,11.98659,13.98659,3.993999,19.5929,10000.0,2000000000.0
ring,0.42,0.21,33600.0,33496.0,33454.0,33496.0,33454.0,0.996904761904762,0.9987461189395749,0.2090875,2.00003,12.098942,14.098972,4.009117,20.1171,10000.0,2000000000.0
ring,0.43,0.215,34400.0,34349.0,34307.0,34349.0,34307.0,0.9985174418604651,0.9987772569798248,0.21441875,2.0,12.134404,14.134404,3.995395,20.583,10000.0,2000000000.0
ring,0.44,0.22,35200.0,35168.0,35124.0,35168.0,35124.0,0.9990909090909091,0.9987488626023658,0.219525,2.0,12.250399,14.250399,3.986078,21.0431,10000.0,2000000000.0
ring,0.45,0.225,36000.0,35927.0,35881.0,35927.0,35881.0,0.9979722222222223,0.9987196259080914,0.22425625,2.0,12.371673,14.371673,4.015579,21.603,10000.0,2000000000.0
ring,0.46,0.23,36800.0,14208.0,14080.0,14208.0,14080.0,0.38608695652173913,0.990990990990991,0.088,2.004403,12.31179,14.316193,3.98473,8.4582,10000.0,2000000000.0
ring,0.47,0.235,37600.0,37457.0,37401.0,37457.0,37401.0,0.9961968085106383,0.998504952345356,0.23375625,2.000401,12.585038,14.585439,4.004706,22.4763,10000.0,2000000000.0
ring,0.48,0.24,38400.0,26170.0,26042.0,26170.0,26042.0,0.6815104166666667,0.9951089033244173,0.1627625,2.005376,12.570501,14.575877,4.013056,15.6904,10000.0,2000000000.0
ring,0.49,0.245,39200.0,22625.0,22497.0,22625.0,22497.0,0.5771683673469388,0.9943425414364641,0.14060625,2.018936,12.741032,14.759968,3.979153,13.4821,10000.0,2000000000.0
ring,0.5,0.25,40000.0,1396.0,1268.0,1396.0,1268.0,0.0349,0.9083094555873925,0.007925,2.164826,14.109621,16.274448,3.903785,0.7785,10000.0,2000000000.0
mesh,0.01,0.005,800.0,795.0,795.0,795.0,795.0,0.99375,1.0,0.00496875,2.0,7.935849,9.935849,2.465409,0.355,10000.0,2000000000.0
mesh,0.02,0.01,1600.0,1598.0,1597.0,1598.0,1597.0,0.99875,0.9993742177722152,0.00998125,2.0,8.049468,10.049468,2.51722,0.7216,10000.0,2000000000.0
mesh,0.03,0.015,2400.0,2373.0,2367.0,2373.0,2367.0,0.98875,0.9974715549936789,0.01479375,2.0,8.029573,10.029573,2.503591,1.0679,10000.0,2000000000.0
mesh,0.04,0.02,3200.0,3153.0,3147.0,3153.0,3147.0,0.9853125,0.9980970504281637,0.01966875,2.0,8.018748,10.018748,2.494121,1.4162,10000.0,2000000000.0
mesh,0.05,0.025,4000.0,3945.0,3945.0,3945.0,3945.0,0.98625,1.0,0.02465625,2.0,8.01673,10.01673,2.48948,1.7711,10000.0,2000000000.0
mesh,0.06,0.03,4800.0,4704.0,4703.0,4704.0,4703.0,0.98,0.9997874149659864,0.02939375,2.0,8.120349,10.120349,2.536679,2.134,10000.0,2000000000.0
mesh,0.07,0.035,5600.000000000001,5562.0,5556.0,5562.0,5556.0,0.9932142857142856,0.9989212513484358,0.034725,2.0,8.061195,10.061195,2.50486,2.5054,10000.0,2000000000.0
mesh,0.08,0.04,6400.0,6305.0,6296.0,6305.0,6296.0,0.98515625,0.9985725614591594,0.03935,2.0,8.019536,10.019536,2.481734,2.8244,10000.0,2000000000.0
mesh,0.09,0.045,7200.0,7129.0,7119.0,7129.0,7119.0,0.9901388888888889,0.9985972787207182,0.04449375,2.0,8.092991,10.092991,2.510324,3.2139,10000.0,2000000000.0
mesh,0.1,0.05,8000.0,7982.0,7975.0,7982.0,7975.0,0.99775,0.9991230268103233,0.04984375,2.0,8.086771,10.086771,2.506834,3.596,10000.0,2000000000.0
