mode,pattern,injection_rate,link_latency,sim_cycles,traffic_epoch_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v4,torus3d_x_reversal,0.9,8,10000,256,2,0,288000.0,100716.0,100440.0,0.34970833333333334,0.9972596211128322,0.1569375,3232.753096,26.412027,3259.165123,1.002589,634.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_x_reversal,0.9,8,10000,256,3,0,288000.0,99948.0,99670.0,0.3470416666666667,0.9972185536478969,0.155734375,3229.60297,26.994341,3256.597311,1.005037,1151.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,4,1,0,288000.0,101110.0,100786.0,0.35107638888888887,0.9967955691820789,0.157478125,3230.777558,27.998085,3258.775643,1.003036,1523.0,1217.0,53008.0,53008.0,0.0,0.0,0.0,52966.0,0.0,0.0,0.0,0.0,0.0,0.0,52966.0,48257.0,0.0,10000.0,26441.0,26567.0,0.0,0.0,0.0,0.0,26410.0,26556.0,0.0,0.0,0.0,0.0,24083.0,24174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,4,2,0,288000.0,101107.0,100788.0,0.35106597222222224,0.9968449266618533,0.15748125,3229.979134,27.963388,3257.942523,1.002818,863.0,579.0,53713.0,53713.0,0.0,0.0,0.0,53665.0,0.0,0.0,0.0,0.0,0.0,0.0,53665.0,47534.0,0.0,10000.0,26877.0,26836.0,0.0,0.0,0.0,0.0,26846.0,26819.0,0.0,0.0,0.0,0.0,23819.0,23715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,4,3,0,288000.0,101106.0,100790.0,0.3510625,0.9968745672858188,0.157484375,3230.108493,27.951315,3258.059808,1.003254,1221.0,893.0,53167.0,53167.0,0.0,0.0,0.0,53121.0,0.0,0.0,0.0,0.0,0.0,0.0,53121.0,48123.0,0.0,10000.0,26518.0,26649.0,0.0,0.0,0.0,0.0,26495.0,26626.0,0.0,0.0,0.0,0.0,24063.0,24060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,16,1,0,288000.0,100045.0,99720.0,0.34737847222222223,0.996751461842171,0.1558125,3245.416596,28.951183,3274.36778,1.031288,9170.0,6034.0,58788.0,58788.0,0.0,0.0,0.0,58731.0,0.0,0.0,0.0,0.0,0.0,0.0,58731.0,44223.0,0.0,10000.0,29262.0,29526.0,0.0,0.0,0.0,0.0,29228.0,29503.0,0.0,0.0,0.0,0.0,22168.0,22055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,16,2,0,288000.0,100095.0,99780.0,0.3475520833333333,0.9968529896598232,0.15590625,3240.868681,28.906214,3269.774895,1.034235,9323.0,5900.0,58911.0,58911.0,0.0,0.0,0.0,58855.0,0.0,0.0,0.0,0.0,0.0,0.0,58855.0,44454.0,0.0,10000.0,29317.0,29594.0,0.0,0.0,0.0,0.0,29288.0,29567.0,0.0,0.0,0.0,0.0,22327.0,22127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,16,3,0,288000.0,99692.0,99386.0,0.34615277777777775,0.9969305460819323,0.155290625,3250.719186,29.485964,3280.20515,1.03747,10066.0,6335.0,58295.0,58295.0,0.0,0.0,0.0,58229.0,0.0,0.0,0.0,0.0,0.0,0.0,58229.0,44973.0,0.0,10000.0,29045.0,29250.0,0.0,0.0,0.0,0.0,29015.0,29214.0,0.0,0.0,0.0,0.0,22621.0,22352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,64,1,0,288000.0,100187.0,99880.0,0.3478715277777778,0.9969357301845548,0.1560625,3239.723408,27.884992,3267.6084,1.018202,5055.0,3233.0,63166.0,63166.0,0.0,0.0,0.0,63096.0,0.0,0.0,0.0,0.0,0.0,0.0,63096.0,38693.0,0.0,10000.0,30694.0,32472.0,0.0,0.0,0.0,0.0,30646.0,32450.0,0.0,0.0,0.0,0.0,19164.0,19529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,64,2,0,288000.0,100175.0,99863.0,0.34782986111111114,0.9968854504616921,0.1560359375,3232.818171,27.862802,3260.680973,1.018065,5031.0,3218.0,63231.0,63231.0,0.0,0.0,0.0,63172.0,0.0,0.0,0.0,0.0,0.0,0.0,63172.0,38606.0,0.0,10000.0,30828.0,32403.0,0.0,0.0,0.0,0.0,30780.0,32392.0,0.0,0.0,0.0,0.0,18988.0,19618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,64,3,0,288000.0,98677.0,98368.0,0.3426284722222222,0.9968685711969355,0.1537,3229.567593,29.085566,3258.65316,1.018665,5272.0,3429.0,62158.0,62158.0,0.0,0.0,0.0,62101.0,0.0,0.0,0.0,0.0,0.0,0.0,62101.0,38208.0,0.0,10000.0,30214.0,31944.0,0.0,0.0,0.0,0.0,30175.0,31926.0,0.0,0.0,0.0,0.0,18692.0,19516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,256,1,0,288000.0,100586.0,100299.0,0.34925694444444444,0.9971467202195137,0.1567171875,3235.530434,27.090569,3262.621003,1.005862,2297.0,1709.0,65246.0,65246.0,0.0,0.0,0.0,65196.0,0.0,0.0,0.0,0.0,0.0,0.0,65196.0,35790.0,0.0,10000.0,28634.0,36612.0,0.0,0.0,0.0,0.0,28634.0,36562.0,0.0,0.0,0.0,0.0,15989.0,19801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,8,10000,256,2,0,288000.0,100746.0,100441.0,0.3498125,0.9969725845194847,0.1569390625,3232.671867,27.032108,3259.703975,1.009857,3411.0,2420.0,64566.0,64566.0,0.0,0.0,0.0,64525.0,0.0,0.0,0.0,0.0,0.0,0.0,64525.0,37025.0,0.0,10000.0,28315.0,36251.0,0.0,0.0,0.0,0.0,28315.0,36210.0,0.0,0.0,0.0,0.0,16871.0,20154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
