mode,pattern,injection_rate,link_latency,sim_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v4,torus3d_tornado,0.9,1,10000,2,0,288000.0,287459.0,287141.0,0.9981215277777777,0.9988937552833621,0.4486578125,2.073103,10.457754,12.530858,3.024525,21663.0,14251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_tornado,0.9,1,10000,3,0,288000.0,287527.0,287196.0,0.9983576388888888,0.998848803764516,0.44874375,2.072108,10.459334,12.531442,3.024269,21488.0,14122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.1,1,10000,1,0,32000.0,31899.0,31860.0,0.99684375,0.9987773911407881,0.04978125,2.0,9.321814,11.321814,3.0,0.0,0.0,3579.0,3579.0,0.0,0.0,0.0,3579.0,0.0,0.0,3579.0,92048.0,0.0,10000.0,0.0,1186.0,0.0,1181.0,0.0,1212.0,0.0,1186.0,0.0,1181.0,0.0,1212.0,0.0,30693.0,0.0,30697.0,0.0,30658.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.1,1,10000,2,0,32000.0,31675.0,31647.0,0.98984375,0.9991160220994475,0.0494484375,2.0,9.320568,11.320568,3.0,0.0,0.0,3522.0,3522.0,0.0,0.0,0.0,3522.0,0.0,0.0,3522.0,91461.0,0.0,10000.0,0.0,1182.0,0.0,1150.0,0.0,1190.0,0.0,1182.0,0.0,1150.0,0.0,1190.0,0.0,30480.0,0.0,30510.0,0.0,30471.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.1,1,10000,3,0,32000.0,31949.0,31921.0,0.99840625,0.999123603242668,0.0498765625,2.0,9.330378,11.330378,3.0,0.0,0.0,3652.0,3652.0,0.0,0.0,0.0,3652.0,0.0,0.0,3652.0,92149.0,0.0,10000.0,0.0,1243.0,0.0,1210.0,0.0,1199.0,0.0,1243.0,0.0,1210.0,0.0,1199.0,0.0,30690.0,0.0,30723.0,0.0,30736.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.3,1,10000,1,0,96000.0,95859.0,95732.0,0.99853125,0.9986751374414504,0.14958125,2.000042,10.162704,12.162746,3.000104,30.0,20.0,47994.0,47994.0,0.0,0.0,0.0,47973.0,0.0,0.0,47973.0,239390.0,0.0,10000.0,0.0,16044.0,0.0,15996.0,0.0,15954.0,0.0,16035.0,0.0,15989.0,0.0,15949.0,3.0,79750.0,6.0,79793.0,6.0,79832.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.3,1,10000,2,0,96000.0,95885.0,95791.0,0.9988020833333333,0.9990196589664703,0.1496734375,2.000021,10.175371,12.175392,3.000063,21.0,15.0,48469.0,48469.0,0.0,0.0,0.0,48458.0,0.0,0.0,48458.0,239033.0,0.0,10000.0,0.0,16087.0,0.0,16182.0,0.0,16200.0,0.0,16086.0,0.0,16177.0,0.0,16195.0,3.0,79743.0,3.0,79649.0,3.0,79632.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.3,1,10000,3,0,96000.0,95687.0,95579.0,0.9967395833333333,0.9988713200330244,0.1493421875,2.000042,10.171795,12.171837,3.000105,24.0,14.0,48121.0,48121.0,0.0,0.0,0.0,48107.0,0.0,0.0,48107.0,238783.0,0.0,10000.0,0.0,16018.0,0.0,15967.0,0.0,16136.0,0.0,16014.0,0.0,15964.0,0.0,16129.0,3.0,79611.0,12.0,79661.0,0.0,79496.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.5,1,10000,1,0,160000.0,159657.0,159472.0,0.99785625,0.9988412659639101,0.249175,2.001273,10.984054,12.985327,3.001894,945.0,641.0,169541.0,169541.0,0.0,0.0,0.0,169506.0,0.0,0.0,169506.0,309425.0,0.0,10000.0,0.0,56373.0,0.0,56496.0,0.0,56672.0,0.0,56363.0,0.0,56484.0,0.0,56659.0,192.0,103116.0,122.0,103017.0,141.0,102837.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.5,1,10000,2,0,160000.0,159867.0,159691.0,0.99916875,0.9988990848642935,0.2495171875,2.00134,10.983506,12.984846,3.002229,1039.0,678.0,169985.0,169985.0,0.0,0.0,0.0,169950.0,0.0,0.0,169950.0,309689.0,0.0,10000.0,0.0,56451.0,0.0,56743.0,0.0,56791.0,0.0,56438.0,0.0,56734.0,0.0,56778.0,204.0,103251.0,165.0,102978.0,165.0,102926.0,0.0,0.0,0.0,0.0,0.0,0.0
