mode,pattern,injection_rate,link_latency,sim_cycles,traffic_epoch_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,ownership_wait_starts,ownership_wait_completions,ownership_wait_cycles,ownership_wait_max,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
private_v4,torus3d_x_reversal,0.3,1,10000,256,3,0,96000.0,95687.0,95635.0,0.9967395833333333,0.999456561497382,0.1494296875,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_x_reversal,0.9,1,10000,256,1,0,288000.0,287803.0,287628.0,0.9993159722222222,0.9993919451847271,0.44941875,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_x_reversal,0.9,1,10000,256,2,0,288000.0,287460.0,287292.0,0.998125,0.999415570862033,0.44889375,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,torus3d_x_reversal,0.9,1,10000,256,3,0,288000.0,287527.0,287354.0,0.9983576388888888,0.9993983173754117,0.448990625,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,4,1,0,96000.0,95859.0,95793.0,0.99853125,0.9993114887491003,0.1496765625,2.0,5.447381,7.447381,1.0,0.0,0.0,22987.0,22987.0,0.0,0.0,0.0,22979.0,0.0,0.0,0.0,0.0,0.0,0.0,22979.0,72841.0,0.0,10000.0,13962.0,9025.0,0.0,0.0,0.0,0.0,13954.0,9025.0,0.0,0.0,0.0,0.0,33858.0,38983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,4,2,0,96000.0,95885.0,95837.0,0.9988020833333333,0.999499400323304,0.1497453125,2.0,5.446852,7.446852,1.0,0.0,0.0,22936.0,22936.0,0.0,0.0,0.0,22931.0,0.0,0.0,0.0,0.0,0.0,0.0,22931.0,72925.0,0.0,10000.0,14074.0,8862.0,0.0,0.0,0.0,0.0,14069.0,8862.0,0.0,0.0,0.0,0.0,33982.0,38943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,4,3,0,96000.0,95687.0,95635.0,0.9967395833333333,0.999456561497382,0.1494296875,2.0,5.446071,7.446071,1.0,0.0,0.0,22843.0,22843.0,0.0,0.0,0.0,22837.0,0.0,0.0,0.0,0.0,0.0,0.0,22837.0,72818.0,0.0,10000.0,13917.0,8926.0,0.0,0.0,0.0,0.0,13911.0,8926.0,0.0,0.0,0.0,0.0,33754.0,39064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,4,1,0,288000.0,287803.0,287628.0,0.9993159722222222,0.9993919451847271,0.44941875,2.0,5.477533,7.477533,1.0,0.0,0.0,136610.0,136610.0,0.0,0.0,0.0,136561.0,0.0,0.0,0.0,0.0,0.0,0.0,136561.0,151126.0,0.0,10000.0,71475.0,65135.0,0.0,0.0,0.0,0.0,71426.0,65135.0,0.0,0.0,0.0,0.0,72276.0,78850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,4,2,0,288000.0,287460.0,287292.0,0.998125,0.999415570862033,0.44889375,2.0,5.476898,7.476898,1.0,0.0,0.0,136217.0,136217.0,0.0,0.0,0.0,136172.0,0.0,0.0,0.0,0.0,0.0,0.0,136172.0,151177.0,0.0,10000.0,71460.0,64757.0,0.0,0.0,0.0,0.0,71415.0,64757.0,0.0,0.0,0.0,0.0,72309.0,78868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,4,3,0,288000.0,287527.0,287354.0,0.9983576388888888,0.9993983173754117,0.448990625,2.0,5.476994,7.476994,1.0,0.0,0.0,136378.0,136378.0,0.0,0.0,0.0,136326.0,0.0,0.0,0.0,0.0,0.0,0.0,136326.0,151087.0,0.0,10000.0,71489.0,64889.0,0.0,0.0,0.0,0.0,71437.0,64889.0,0.0,0.0,0.0,0.0,72236.0,78851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,16,1,0,96000.0,95859.0,95793.0,0.99853125,0.9993114887491003,0.1496765625,2.0,5.433706,7.433706,1.0,0.0,0.0,27470.0,27470.0,0.0,0.0,0.0,27465.0,0.0,0.0,0.0,0.0,0.0,0.0,27465.0,68355.0,0.0,10000.0,16811.0,10659.0,0.0,0.0,0.0,0.0,16811.0,10654.0,0.0,0.0,0.0,0.0,30902.0,37453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,16,2,0,96000.0,95885.0,95837.0,0.9988020833333333,0.999499400323304,0.1497453125,2.0,5.433037,7.433037,1.0,0.0,0.0,27447.0,27447.0,0.0,0.0,0.0,27443.0,0.0,0.0,0.0,0.0,0.0,0.0,27443.0,68413.0,0.0,10000.0,16984.0,10463.0,0.0,0.0,0.0,0.0,16984.0,10459.0,0.0,0.0,0.0,0.0,31047.0,37366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,16,3,0,96000.0,95687.0,95635.0,0.9967395833333333,0.999456561497382,0.1494296875,2.0,5.433335,7.433335,1.0,0.0,0.0,27459.0,27459.0,0.0,0.0,0.0,27455.0,0.0,0.0,0.0,0.0,0.0,0.0,27455.0,68200.0,0.0,10000.0,16973.0,10486.0,0.0,0.0,0.0,0.0,16973.0,10482.0,0.0,0.0,0.0,0.0,30964.0,37236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,16,1,0,288000.0,287803.0,287628.0,0.9993159722222222,0.9993919451847271,0.44941875,2.0,5.422466,7.422466,1.0,0.0,0.0,154917.0,154917.0,0.0,0.0,0.0,154879.0,0.0,0.0,0.0,0.0,0.0,0.0,154879.0,132808.0,0.0,10000.0,88546.0,66371.0,0.0,0.0,0.0,0.0,88546.0,66333.0,0.0,0.0,0.0,0.0,55193.0,77615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,16,2,0,288000.0,287460.0,287292.0,0.998125,0.999415570862033,0.44889375,2.0,5.421961,7.421961,1.0,0.0,0.0,154662.0,154662.0,0.0,0.0,0.0,154628.0,0.0,0.0,0.0,0.0,0.0,0.0,154628.0,132721.0,0.0,10000.0,88455.0,66207.0,0.0,0.0,0.0,0.0,88455.0,66173.0,0.0,0.0,0.0,0.0,55066.0,77655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.9,1,10000,16,3,0,288000.0,287527.0,287354.0,0.9983576388888888,0.9993983173754117,0.448990625,2.0,5.42211,7.42211,1.0,0.0,0.0,154671.0,154671.0,0.0,0.0,0.0,154624.0,0.0,0.0,0.0,0.0,0.0,0.0,154624.0,132789.0,0.0,10000.0,88466.0,66205.0,0.0,0.0,0.0,0.0,88466.0,66158.0,0.0,0.0,0.0,0.0,55143.0,77646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,64,1,0,96000.0,95859.0,95793.0,0.99853125,0.9993114887491003,0.1496765625,2.0,5.429802,7.429802,1.0,0.0,0.0,28703.0,28703.0,0.0,0.0,0.0,28698.0,0.0,0.0,0.0,0.0,0.0,0.0,28698.0,67122.0,0.0,10000.0,17655.0,11048.0,0.0,0.0,0.0,0.0,17655.0,11043.0,0.0,0.0,0.0,0.0,30139.0,36983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_x_reversal,0.3,1,10000,64,2,0,96000.0,95885.0,95837.0,0.9988020833333333,0.999499400323304,0.1497453125,2.0,5.430199,7.430199,1.0,0.0,0.0,28642.0,28642.0,0.0,0.0,0.0,28638.0,0.0,0.0,0.0,0.0,0.0,0.0,28638.0,67218.0,0.0,10000.0,17710.0,10932.0,0.0,0.0,0.0,0.0,17710.0,10928.0,0.0,0.0,0.0,0.0,30306.0,36912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
