mode,pattern,injection_rate,link_latency,sim_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
dpphys_pressure,torus3d_tornado,0.3,8,10000,3,0,96000.0,95346.0,94878.0,0.9931875,0.9950915612610912,0.148246875,39.55388,46.631295,86.185175,3.027467,7884.0,5011.0,191020.0,190391.0,629.0,1066.0,437.0,190411.0,0.0,0.0,190848.0,96984.0,1.0,10000.0,0.0,63627.0,0.0,63717.0,0.0,63676.0,0.0,63568.0,0.0,63652.0,0.0,63628.0,1419.0,31028.0,1240.0,31008.0,1259.0,31030.0,162.0,226.0,149.0,213.0,126.0,190.0
dpphys_pressure,torus3d_tornado,0.5,8,10000,1,0,160000.0,100506.0,100023.0,0.6281625,0.9951943167572085,0.1562859375,1840.180648,47.017716,1887.198364,3.037391,11292.0,7109.0,201754.0,200730.0,1024.0,1856.0,832.0,200727.0,0.0,0.0,201559.0,102853.0,1.0,10000.0,0.0,67113.0,0.0,67265.0,0.0,67376.0,0.0,67044.0,0.0,67198.0,0.0,67317.0,1851.0,32570.0,1863.0,32404.0,1908.0,32257.0,274.0,338.0,301.0,365.0,257.0,321.0
dpphys_pressure,torus3d_tornado,0.5,8,10000,2,0,160000.0,100471.0,99983.0,0.62794375,0.9951428770490988,0.1562234375,1851.571027,47.066261,1898.637288,3.038066,11398.0,7125.0,201561.0,200527.0,1034.0,1880.0,846.0,200527.0,0.0,0.0,201373.0,102984.0,1.0,10000.0,0.0,67047.0,0.0,67062.0,0.0,67452.0,0.0,66994.0,0.0,66996.0,0.0,67383.0,1817.0,32584.0,1827.0,32582.0,2078.0,32096.0,252.0,315.0,260.0,324.0,334.0,395.0
dpphys_pressure,torus3d_tornado,0.5,8,10000,3,0,160000.0,100474.0,99984.0,0.6279625,0.9951231164281307,0.156225,1849.846835,47.011352,1896.858187,3.036026,10980.0,6926.0,201858.0,200891.0,967.0,1743.0,776.0,200892.0,0.0,0.0,201668.0,102483.0,1.0,10000.0,0.0,67163.0,0.0,67231.0,0.0,67464.0,0.0,67090.0,0.0,67162.0,0.0,67416.0,1756.0,32498.0,1757.0,32437.0,1903.0,32132.0,243.0,307.0,230.0,294.0,303.0,366.0
dpphys_pressure,torus3d_tornado,0.9,8,10000,1,0,288000.0,100531.0,100043.0,0.34906597222222224,0.9951457759298127,0.1563171875,3233.128415,46.994163,3280.122577,3.037304,11166.0,6997.0,202114.0,201077.0,1037.0,1884.0,847.0,201076.0,0.0,0.0,201923.0,102535.0,1.0,10000.0,0.0,67239.0,0.0,67462.0,0.0,67413.0,0.0,67182.0,0.0,67401.0,0.0,67340.0,1812.0,32464.0,1965.0,32189.0,1827.0,32278.0,297.0,360.0,314.0,377.0,236.0,300.0
dpphys_pressure,torus3d_tornado,0.9,8,10000,2,0,288000.0,100567.0,100082.0,0.34919097222222223,0.9951773444569292,0.156378125,3231.508693,46.944705,3278.453398,3.03669,11020.0,6928.0,202565.0,201598.0,967.0,1743.0,776.0,201605.0,0.0,0.0,202381.0,102147.0,1.0,10000.0,0.0,67459.0,0.0,67512.0,0.0,67594.0,0.0,67397.0,0.0,67447.0,0.0,67537.0,1823.0,32279.0,1851.0,32218.0,1857.0,32119.0,287.0,351.0,233.0,296.0,256.0,320.0
dpphys_pressure,torus3d_tornado,0.9,8,10000,3,0,288000.0,100524.0,100032.0,0.34904166666666664,0.995105646412797,0.1563,3231.885217,46.979037,3278.864253,3.035849,10854.0,6859.0,202122.0,201127.0,995.0,1799.0,804.0,201140.0,0.0,0.0,201944.0,102358.0,1.0,10000.0,0.0,67298.0,0.0,67231.0,0.0,67593.0,0.0,67237.0,0.0,67178.0,0.0,67529.0,1769.0,32412.0,1830.0,32458.0,1798.0,32091.0,243.0,306.0,252.0,316.0,309.0,373.0
dpphys_pressure_cap2,torus3d_tornado,0.3,8,10000,1,0,96000.0,95274.0,94736.0,0.9924375,0.9943531288704158,0.148025,42.156065,53.906129,96.062194,3.201127,56081.0,27500.0,157595.0,157595.0,0.0,0.0,0.0,157439.0,0.0,0.0,157439.0,146601.0,0.0,10000.0,0.0,52632.0,0.0,52493.0,0.0,52470.0,0.0,52586.0,0.0,52441.0,0.0,52412.0,9569.0,39210.0,9619.0,39314.0,9511.0,39378.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.3,8,10000,2,0,96000.0,95543.0,95016.0,0.9952395833333333,0.9944841589650734,0.1484625,40.457997,53.96528,94.423276,3.199482,56255.0,27655.0,158137.0,158137.0,0.0,0.0,0.0,157984.0,0.0,0.0,157984.0,146803.0,0.0,10000.0,0.0,52854.0,0.0,52675.0,0.0,52608.0,0.0,52807.0,0.0,52618.0,0.0,52559.0,9621.0,39247.0,9718.0,39397.0,9205.0,39615.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.3,8,10000,3,0,96000.0,95330.0,94804.0,0.9930208333333334,0.9944823245568026,0.14813125,41.250369,53.845544,95.095914,3.198177,55812.0,27634.0,157814.0,157814.0,0.0,0.0,0.0,157658.0,0.0,0.0,157658.0,146297.0,0.0,10000.0,0.0,52694.0,0.0,52588.0,0.0,52532.0,0.0,52640.0,0.0,52536.0,0.0,52482.0,9659.0,39174.0,9254.0,39414.0,9376.0,39420.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.5,8,10000,1,0,160000.0,99986.0,99415.0,0.6249125,0.9942892004880683,0.1553359375,1854.649862,58.338329,1912.988191,3.215943,64563.0,30395.0,164777.0,164777.0,0.0,0.0,0.0,164611.0,0.0,0.0,164611.0,155962.0,0.0,10000.0,0.0,55158.0,0.0,54967.0,0.0,54652.0,0.0,55102.0,0.0,54908.0,0.0,54601.0,10630.0,41031.0,10734.0,41183.0,10996.0,41388.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.5,8,10000,2,0,160000.0,100024.0,99428.0,0.62515,0.9940414300567864,0.15535625,1864.402382,57.964004,1922.366386,3.217343,64677.0,30442.0,164817.0,164817.0,0.0,0.0,0.0,164644.0,0.0,0.0,164644.0,156112.0,0.0,10000.0,0.0,55250.0,0.0,54878.0,0.0,54689.0,0.0,55183.0,0.0,54827.0,0.0,54634.0,10834.0,40896.0,10798.0,41252.0,10919.0,41413.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.5,8,10000,3,0,160000.0,99996.0,99394.0,0.624975,0.9939797591903676,0.155303125,1863.922641,58.252993,1922.175634,3.218303,64900.0,30457.0,164644.0,164644.0,0.0,0.0,0.0,164480.0,0.0,0.0,164480.0,156299.0,0.0,10000.0,0.0,55194.0,0.0,54792.0,0.0,54658.0,0.0,55142.0,0.0,54735.0,0.0,54603.0,10864.0,40910.0,10870.0,41298.0,10956.0,41401.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.9,8,10000,1,0,288000.0,100046.0,99442.0,0.3473819444444444,0.9939627771225237,0.155378125,3237.701263,58.260282,3295.961545,3.215764,64554.0,30456.0,164865.0,164865.0,0.0,0.0,0.0,164697.0,0.0,0.0,164697.0,155990.0,0.0,10000.0,0.0,55276.0,0.0,54926.0,0.0,54663.0,0.0,55213.0,0.0,54880.0,0.0,54604.0,10691.0,40939.0,10734.0,41258.0,10920.0,41448.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.9,8,10000,2,0,288000.0,100016.0,99436.0,0.3472777777777778,0.9942009278515438,0.15536875,3237.830041,58.291031,3296.121073,3.216622,64556.0,30458.0,164814.0,164814.0,0.0,0.0,0.0,164650.0,0.0,0.0,164650.0,156041.0,0.0,10000.0,0.0,55249.0,0.0,54919.0,0.0,54646.0,0.0,55197.0,0.0,54863.0,0.0,54590.0,10723.0,40926.0,10770.0,41234.0,10961.0,41427.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap2,torus3d_tornado,0.9,8,10000,3,0,288000.0,100025.0,99432.0,0.3473090277777778,0.9940714821294676,0.1553625,3237.888215,58.202641,3296.090856,3.21478,64346.0,30365.0,164765.0,164765.0,0.0,0.0,0.0,164602.0,0.0,0.0,164602.0,155943.0,0.0,10000.0,0.0,55222.0,0.0,54897.0,0.0,54646.0,0.0,55168.0,0.0,54845.0,0.0,54589.0,10785.0,40952.0,10586.0,41323.0,10822.0,41475.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_pressure_cap4,torus3d_tornado,0.3,8,10000,1,0,96000.0,95304.0,94839.0,0.99275,0.9951208763535634,0.1481859375,40.789918,46.297335,87.087253,3.00097,244.0,150.0,196388.0,195998.0,390.0,397.0,7.0,196197.0,0.0,0.0,196204.0,88978.0,2.0,10000.0,0.0,65484.0,0.0,65439.0,0.0,65465.0,0.0,65423.0,0.0,65375.0,0.0,65406.0,39.0,29595.0,51.0,29643.0,50.0,29600.0,3.0,131.0,0.0,128.0,4.0,131.0
dpphys_pressure_cap4,torus3d_tornado,0.3,8,10000,2,0,96000.0,95562.0,95121.0,0.9954375,0.9953851949519683,0.1486265625,38.592056,46.28756,84.879616,3.000736,229.0,159.0,197106.0,196712.0,394.0,406.0,12.0,196908.0,0.0,0.0,196920.0,89048.0,2.0,10000.0,0.0,65674.0,0.0,65756.0,0.0,65676.0,0.0,65611.0,0.0,65694.0,0.0,65615.0,30.0,29680.0,39.0,29594.0,36.0,29669.0,4.0,132.0,6.0,132.0,2.0,130.0
dpphys_pressure_cap4,torus3d_tornado,0.3,8,10000,3,0,96000.0,95348.0,94887.0,0.9932083333333334,0.995165079498259,0.1482609375,39.636178,46.294413,85.930591,3.000801,247.0,168.0,196472.0,196078.0,394.0,404.0,10.0,196278.0,0.0,0.0,196288.0,89014.0,2.0,10000.0,0.0,65439.0,0.0,65509.0,0.0,65524.0,0.0,65375.0,0.0,65449.0,0.0,65464.0,27.0,29689.0,45.0,29614.0,46.0,29593.0,0.0,128.0,5.0,133.0,5.0,133.0
dpphys_pressure_cap4,torus3d_tornado,0.5,8,10000,1,0,160000.0,100458.0,99972.0,0.6278625,0.9951621573194768,0.15620625,1840.996399,46.521206,1887.517605,3.001801,539.0,357.0,209422.0,209002.0,420.0,457.0,37.0,209193.0,0.0,0.0,209230.0,91465.0,2.0,10000.0,0.0,69658.0,0.0,69634.0,0.0,70130.0,0.0,69595.0,0.0,69571.0,0.0,70064.0,84.0,30556.0,87.0,30581.0,102.0,30055.0,6.0,134.0,8.0,135.0,23.0,151.0
dpphys_pressure_cap4,torus3d_tornado,0.5,8,10000,2,0,160000.0,100465.0,99981.0,0.62790625,0.9951824018314837,0.1562203125,1851.723838,46.537632,1898.26147,3.00164,506.0,341.0,209428.0,209012.0,416.0,448.0,32.0,209205.0,0.0,0.0,209237.0,91463.0,2.0,10000.0,0.0,69618.0,0.0,69599.0,0.0,70211.0,0.0,69552.0,0.0,69533.0,0.0,70152.0,84.0,30602.0,78.0,30622.0,84.0,29993.0,13.0,141.0,3.0,131.0,16.0,144.0
dpphys_pressure_cap4,torus3d_tornado,0.5,8,10000,3,0,160000.0,100427.0,99938.0,0.62766875,0.9951307915202087,0.156153125,1851.638316,46.577538,1898.215854,3.001761,550.0,373.0,209067.0,208642.0,425.0,466.0,41.0,208826.0,0.0,0.0,208867.0,91717.0,2.0,10000.0,0.0,69481.0,0.0,69438.0,0.0,70148.0,0.0,69421.0,0.0,69378.0,0.0,70068.0,81.0,30693.0,78.0,30739.0,105.0,30021.0,14.0,142.0,9.0,137.0,18.0,146.0
dpphys_pressure_cap4,torus3d_tornado,0.9,8,10000,1,0,288000.0,100560.0,100074.0,0.3491666666666667,0.9951670644391408,0.156365625,3231.921728,46.505006,3278.426734,3.001699,510.0,339.0,209532.0,209127.0,405.0,427.0,22.0,209322.0,0.0,0.0,209344.0,91637.0,2.0,10000.0,0.0,69674.0,0.0,69680.0,0.0,70178.0,0.0,69612.0,0.0,69613.0,0.0,70119.0,84.0,30637.0,81.0,30626.0,90.0,30119.0,10.0,137.0,5.0,133.0,7.0,135.0
dpphys_pressure_cap4,torus3d_tornado,0.9,8,10000,2,0,288000.0,100525.0,100055.0,0.3490451388888889,0.9953245461328027,0.1563359375,3233.139783,46.484803,3279.624586,3.001459,477.0,331.0,209780.0,209364.0,416.0,449.0,33.0,209537.0,0.0,0.0,209570.0,91300.0,2.0,10000.0,0.0,69743.0,0.0,69932.0,0.0,70105.0,0.0,69680.0,0.0,69864.0,0.0,70026.0,90.0,30537.0,57.0,30361.0,72.0,30183.0,17.0,144.0,12.0,140.0,4.0,132.0
dpphys_pressure_cap4,torus3d_tornado,0.9,8,10000,3,0,288000.0,100541.0,100068.0,0.34910069444444447,0.9952954516068072,0.15635625,3232.645831,46.428499,3279.074329,3.000959,380.0,283.0,209999.0,209605.0,394.0,405.0,11.0,209786.0,0.0,0.0,209797.0,91070.0,2.0,10000.0,0.0,70015.0,0.0,69956.0,0.0,70028.0,0.0,69954.0,0.0,69886.0,0.0,69957.0,51.0,30289.0,42.0,30360.0,52.0,30276.0,4.0,132.0,3.0,131.0,4.0,131.0
private_v4,uniform_random,0.3,8,10000,1,0,96000.0,95530.0,95059.0,0.9951041666666667,0.9950696116403224,0.1485296875,42.060636,47.419403,89.480039,3.024038,7548.0,4909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,uniform_random,0.3,8,10000,2,0,96000.0,95536.0,95073.0,0.9951666666666666,0.9951536593535422,0.1485515625,38.970654,47.362721,86.333375,3.023361,7541.0,4871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,uniform_random,0.3,8,10000,3,0,96000.0,95237.0,94758.0,0.9920520833333333,0.9949704421600848,0.148059375,38.778742,47.334684,86.113426,3.017656,7345.0,4768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
private_v4,uniform_random,0.5,8,10000,1,0,160000.0,100543.0,100045.0,0.62839375,0.9950468953582049,0.1563203125,1834.585227,48.368894,1882.954121,3.032585,9784.0,6248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
