mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.25,7,10000,0,80000.0,79713.0,79646.0,0.9964125,0.9991594846511861,0.124446875,2.0,7.132737,9.132737,2.0,0.0,0.0,0.0,159373.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.3,7,10000,0,96000.0,95810.0,95731.0,0.9980208333333334,0.9991754514142573,0.1495796875,2.0,7.160011,9.160011,2.0,0.0,0.0,0.0,191554.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.35,7,10000,0,112000.0,111703.0,111617.0,0.9973482142857143,0.9992301012506378,0.1744015625,2.0,7.188278,9.188278,2.0,0.0,0.0,0.0,223331.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.4,7,10000,0,128000.0,127637.0,127534.0,0.9971640625,0.9991930239664047,0.199271875,2.0,7.214351,9.214351,2.0,0.0,0.0,0.0,255194.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.45,7,10000,0,144000.0,143553.0,143440.0,0.9968958333333333,0.9992128342842016,0.224125,2.0,7.241125,9.241125,2.0,0.0,0.0,0.0,287016.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_xopposite,0.5,7,10000,0,160000.0,159452.0,159326.0,0.996575,0.9992097935428844,0.248946875,2.0,7.267646,9.267646,2.0,0.0,0.0,0.0,318802.0,0.0,0.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.05,3,10000,0,16000.0,15968.0,15949.0,0.998,0.998810120240481,0.0249203125,2.003072,9.045959,11.049031,3.000125,0.0,0.0,0.0,47878.0,4.0,2.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.1,3,10000,0,32000.0,31948.0,31904.0,0.998375,0.9986227619882309,0.04985,2.010908,9.090616,11.101523,3.000251,0.0,0.0,0.0,95771.0,31.0,22.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.15,3,10000,0,48000.0,47760.0,47701.0,0.995,0.9987646566164154,0.0745328125,2.025282,9.137523,11.162806,3.00088,0.0,0.0,0.0,143111.0,146.0,104.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.2,3,10000,0,64000.0,63804.0,63730.0,0.9969375,0.9988401981067018,0.099578125,2.047105,9.185454,11.232559,3.00226,0.0,0.0,0.0,191019.0,451.0,305.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.25,3,10000,0,80000.0,79712.0,79623.0,0.9964,0.9988834805299077,0.1244109375,2.074526,9.233689,11.308215,3.00422,0.0,0.0,0.0,238330.0,1038.0,693.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.3,3,10000,0,96000.0,95809.0,95708.0,0.9980104166666667,0.9989458192862883,0.14954375,2.110973,9.285284,11.396257,3.007168,0.0,0.0,0.0,285842.0,2145.0,1442.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.35,3,10000,0,112000.0,111701.0,111590.0,0.9973303571428571,0.9990062756824021,0.174359375,2.160507,9.345434,11.505941,3.012152,0.0,0.0,0.0,332138.0,4185.0,2761.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.4,3,10000,0,128000.0,127635.0,127500.0,0.9971484375,0.9989422963920555,0.19921875,2.228188,9.410243,11.638431,3.019247,0.0,0.0,0.0,377654.0,7549.0,4930.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.45,3,10000,0,144000.0,143549.0,143402.0,0.9968680555555556,0.9989759594284878,0.224065625,2.321425,9.48546,11.806886,3.028256,0.0,0.0,0.0,422211.0,12314.0,7872.0,10000.0
B2_dpesc_v3_s2_per_dimension,torus3d_tornado,0.5,3,10000,0,160000.0,159447.0,159283.0,0.99654375,0.9989714450569782,0.2488796875,2.455033,9.568642,12.023675,3.039439,0.0,0.0,0.0,465279.0,19152.0,12183.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.05,5,10000,0,16000.0,15968.0,15949.0,0.998,0.998810120240481,0.0249203125,2.0,9.04157,11.04157,3.0,0.0,0.0,0.0,47880.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.1,5,10000,0,32000.0,31948.0,31904.0,0.998375,0.9986227619882309,0.04985,2.0,9.094471,11.094471,3.0,0.0,0.0,0.0,95794.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.15,5,10000,0,48000.0,47760.0,47701.0,0.995,0.9987646566164154,0.0745328125,2.0,9.138551,11.138551,3.0,0.0,0.0,0.0,143215.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.2,5,10000,0,64000.0,63806.0,63730.0,0.99696875,0.9988088894461336,0.099578125,2.0,9.193159,11.193159,3.0,0.0,0.0,0.0,191327.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.25,5,10000,0,80000.0,79713.0,79623.0,0.9964125,0.9988709495314441,0.1244109375,2.0,9.245482,11.245482,3.0,0.0,0.0,0.0,239035.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.3,5,10000,0,96000.0,95810.0,95708.0,0.9980208333333334,0.9989353929652437,0.14954375,2.0,9.30079,11.30079,3.0,0.0,0.0,0.0,287305.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.35,5,10000,0,112000.0,111703.0,111591.0,0.9973482142857143,0.9989973411636214,0.1743609375,2.0,9.357654,11.357654,3.0,0.0,0.0,0.0,334968.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.4,5,10000,0,128000.0,127637.0,127504.0,0.9971640625,0.9989579824032216,0.199225,2.0,9.424818,11.424818,3.0,0.0,0.0,0.0,382753.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.45,5,10000,0,144000.0,143553.0,143408.0,0.9968958333333333,0.9989899200991968,0.224075,2.0,9.494491,11.494491,3.0,0.0,0.0,0.0,430481.0,0.0,0.0,10000.0
B4_dpesc_v5_s4_per_dimension,torus3d_tornado,0.5,5,10000,0,160000.0,159452.0,159290.0,0.996575,0.9989840202694228,0.248890625,2.0,9.565371,11.565371,3.0,0.0,0.0,0.0,478161.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_tornado,0.05,7,10000,0,16000.0,15968.0,15949.0,0.998,0.998810120240481,0.0249203125,2.0,9.04157,11.04157,3.0,0.0,0.0,0.0,47880.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_tornado,0.1,7,10000,0,32000.0,31948.0,31904.0,0.998375,0.9986227619882309,0.04985,2.0,9.094471,11.094471,3.0,0.0,0.0,0.0,95794.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_tornado,0.15,7,10000,0,48000.0,47760.0,47701.0,0.995,0.9987646566164154,0.0745328125,2.0,9.138551,11.138551,3.0,0.0,0.0,0.0,143215.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_tornado,0.2,7,10000,0,64000.0,63806.0,63730.0,0.99696875,0.9988088894461336,0.099578125,2.0,9.193159,11.193159,3.0,0.0,0.0,0.0,191327.0,0.0,0.0,10000.0
B6_dpesc_v7_s6_per_dimension,torus3d_tornado,0.25,7,10000,0,80000.0,79713.0,79623.0,0.9964125,0.9988709495314441,0.1244109375,2.0,9.245482,11.245482,3.0,0.0,0.0,0.0,239035.0,0.0,0.0,10000.0
