mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,dp_pool_blocks,dp_shared_grants,escape_hops,escape_transitions,sim_ticks
B2_dpesc_v3_s2_global,uniform_random,0.35,3,100,0,1120.0,1127.0,1021.0,1.00625,0.9059449866903283,0.15953125,2.131244,9.335945,11.467189,3.01665,0.0,0.0,0.0,3260.0,33.0,18.0,100.0
B2_dpesc_v3_s2_global,uniform_random,0.45,3,100,0,1440.0,1426.0,1286.0,0.9902777777777778,0.9018232819074333,0.2009375,2.230949,9.29549,11.526439,2.958787,0.0,0.0,0.0,4035.0,59.0,43.0,100.0
B4_dpesc_v5_s4_global,uniform_random,0.05,5,100,0,160.0,164.0,141.0,1.025,0.8597560975609756,0.02203125,2.0,9.333333,11.333333,3.163121,0.0,0.0,0.0,484.0,0.0,0.0,100.0
B4_dpesc_v5_s4_global,uniform_random,0.15,5,100,0,480.0,490.0,440.0,1.0208333333333333,0.8979591836734694,0.06875,2.0,8.997727,10.997727,2.934091,0.0,0.0,0.0,1393.0,0.0,0.0,100.0
B4_dpesc_v5_s4_global,uniform_random,0.25,5,100,0,800.0,797.0,719.0,0.99625,0.9021329987452948,0.11234375,2.0,9.148818,11.148818,2.956885,0.0,0.0,0.0,2281.0,0.0,0.0,100.0
B4_dpesc_v5_s4_global,uniform_random,0.35,5,100,0,1120.0,1128.0,1021.0,1.0071428571428571,0.9051418439716312,0.15953125,2.0,9.320274,11.320274,3.005877,0.0,0.0,0.0,3278.0,0.0,0.0,100.0
B4_dpesc_v5_s4_global,uniform_random,0.45,5,100,0,1440.0,1426.0,1288.0,0.9902777777777778,0.9032258064516129,0.20125,2.0,9.310559,11.310559,2.948758,0.0,0.0,0.0,4080.0,0.0,0.0,100.0
B6_dpesc_v7_s6_global,uniform_random,0.05,7,100,0,160.0,164.0,141.0,1.025,0.8597560975609756,0.02203125,2.0,9.333333,11.333333,3.163121,0.0,0.0,0.0,484.0,0.0,0.0,100.0
B6_dpesc_v7_s6_global,uniform_random,0.15,7,100,0,480.0,490.0,440.0,1.0208333333333333,0.8979591836734694,0.06875,2.0,8.997727,10.997727,2.934091,0.0,0.0,0.0,1393.0,0.0,0.0,100.0
B6_dpesc_v7_s6_global,uniform_random,0.25,7,100,0,800.0,797.0,719.0,0.99625,0.9021329987452948,0.11234375,2.0,9.148818,11.148818,2.956885,0.0,0.0,0.0,2281.0,0.0,0.0,100.0
B6_dpesc_v7_s6_global,uniform_random,0.35,7,100,0,1120.0,1128.0,1021.0,1.0071428571428571,0.9051418439716312,0.15953125,2.0,9.320274,11.320274,3.005877,0.0,0.0,0.0,3278.0,0.0,0.0,100.0
B6_dpesc_v7_s6_global,uniform_random,0.45,7,100,0,1440.0,1426.0,1288.0,0.9902777777777778,0.9032258064516129,0.20125,2.0,9.310559,11.310559,2.948758,0.0,0.0,0.0,4080.0,0.0,0.0,100.0
