config,pattern,rate,pd_throughput,global_throughput,throughput_delta_pct,pd_latency,global_latency,latency_delta_pct,pd_pool_blocks,global_pool_blocks,pd_deadlock,global_deadlock
B2_dpesc_v3_s2,uniform_random,0.25,0.1246578125,0.1246578125,0.0,11.347439,11.298592,-0.43046717413506297,0,0,0,0
B2_dpesc_v3_s2,uniform_random,0.3,0.1499421875,0.1499453125,0.002084136594326935,11.472276,11.388808,-0.7275626911347088,0,0,0,0
B2_dpesc_v3_s2,uniform_random,0.35,0.174828125,0.1748296875,0.000893734918228084,11.591152,11.462262,-1.111968853484091,0,0,0,0
B2_dpesc_v3_s2,uniform_random,0.4,0.19955625,0.1995578125,0.0007829872529674375,11.751347,11.583877,-1.4251132231905106,0,0,0,0
B2_dpesc_v3_s2,uniform_random,0.45,0.224446875,0.2244546875,0.003480779137610135,11.983411,11.75059,-1.9428608432106698,0,0,0,0
B2_dpesc_v3_s2,uniform_random,0.5,0.249025,0.249040625,0.006274470434686208,12.240827,11.925483,-2.576165809712039,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.05,0.0249328125,0.0249328125,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.1,0.04988125,0.04988125,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.15,0.0745765625,0.0745765625,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.2,0.0996296875,0.0996296875,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.25,0.124471875,0.124471875,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.3,0.1496109375,0.1496109375,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.35,0.1744328125,0.1744328125,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.4,0.199315625,0.199315625,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.45,0.224171875,0.224171875,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_neighbor,0.5,0.2489984375,0.2489984375,0.0,7.0,7.0,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.05,0.0249203125,0.0249203125,0.0,11.04157,11.04157,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.1,0.04985,0.04985,0.0,11.094471,11.094471,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.15,0.0745328125,0.0745328125,0.0,11.138551,11.138551,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.2,0.099578125,0.099578125,0.0,11.193159,11.193159,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.25,0.1244109375,0.1244109375,0.0,11.245482,11.245482,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.3,0.14954375,0.14954375,0.0,11.30079,11.30079,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.35,0.1743609375,0.1743609375,0.0,11.357654,11.357654,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.4,0.199225,0.199225,0.0,11.424818,11.424818,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.45,0.224075,0.224075,0.0,11.494491,11.494491,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_tornado,0.5,0.248890625,0.248890625,0.0,11.565371,11.565371,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.05,0.0249203125,0.0249203125,0.0,11.042072,11.042072,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.1,0.049853125,0.049853125,0.0,11.076694,11.076694,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.15,0.0745359375,0.0745359375,0.0,11.098799,11.098799,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.2,0.0995796875,0.0995796875,0.0,11.137547,11.137547,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.25,0.1244140625,0.1244140625,0.0,11.174355,11.174355,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.3,0.1495453125,0.1495453125,0.0,11.20345,11.203513,0.0005623267832488565,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.35,0.1743625,0.1743609375,-0.0008961215857694604,11.233556,11.234195,0.005688314546170581,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.4,0.199225,0.199228125,0.0015685782406738014,11.263592,11.266427,0.02516959065990143,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.45,0.2240765625,0.2240734375,-0.0013946126114827706,11.293782,11.293772,-8.854429809357356e-05,0,0,0,0
B4_dpesc_v5_s4,torus3d_transpose,0.5,0.2488953125,0.2488953125,0.0,11.325947,11.324904,-0.009208942969618494,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.05,0.024928125,0.024928125,0.0,9.025574,9.025574,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.1,0.04986875,0.04986875,0.0,9.051166,9.051166,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.15,0.074559375,0.074559375,0.0,9.076743,9.076743,0.0,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.2,0.099609375,0.099609375,0.0,9.107467,9.106886,-0.006379380787224775,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.25,0.124446875,0.124446875,0.0,9.132411,9.132737,0.0035697035536630395,0,0,0,0
